Date,High,Low,Close,Open,Volume
12/8/2017,317.56,307.9,310.6,308.71,1111650000
11/8/2017,309.21,294.5,308.86,294.5,953576000
10/8/2017,306.59,289.93,295.89,296.96,1076820000
9/8/2017,318.72,276.69,296.03,297.63,2638580000
8/8/2017,298.91,266.8,296.77,269.1,1502410000
7/8/2017,271.96,256.69,269.18,261.24,935727000
6/8/2017,271.05,252.85,261.57,256.42,1482980000
5/8/2017,256.51,221.95,256.51,222.85,1333000000
4/8/2017,227.62,222.06,223.07,225.31,539783000
3/8/2017,228.29,219.89,225.34,220.18,557217000
2/8/2017,229.51,218.12,219.95,227.01,632606000
1/8/2017,227.74,204.69,226.77,204.69,1585330000
31/7/2017,203.87,193.41,203.87,197.41,569414000
30/7/2017,208.54,196.15,197.98,206.74,596234000
29/7/2017,208.68,179.65,205.79,193.34,824355000
28/7/2017,204.9,192.3,193.12,204.33,562571000
27/7/2017,206.44,201.26,204.32,204.86,393283000
26/7/2017,210.77,194.78,203.95,207.09,717692000
25/7/2017,225.32,195.85,206.71,224.37,1095760000
24/7/2017,227.54,222.45,224.71,226.29,431691000
23/7/2017,231.68,217.72,225.95,229.12,649615000
22/7/2017,232.7,216.87,229.48,217.86,618260000
21/7/2017,235.12,213.01,218.31,226.06,1006130000
20/7/2017,233.9,203.22,227.27,205.42,2225000000
19/7/2017,245.65,191.75,199.7,234.94,2328790000
18/7/2017,267.99,182.06,234.39,195.03,2709260000
17/7/2017,194.75,158.04,193.42,159.99,1669500000
16/7/2017,172.01,133.72,157.36,169.57,1516890000
15/7/2017,200.16,170.66,170.66,199.71,810452000
14/7/2017,211.1,187.37,199.66,209.53,749382000
13/7/2017,231.81,200.07,209.73,231.81,828489000
12/7/2017,230.77,189.59,230.77,197.15,1241190000
11/7/2017,220.29,183.39,197.4,211.53,1440950000
10/7/2017,243.07,196.97,215.36,243.01,937219000
9/7/2017,255.11,242.14,242.14,251.82,505118000
8/7/2017,273.48,236.55,251.7,245.89,754958000
7/7/2017,273.94,244.17,245.99,270.35,687252000
6/7/2017,278.48,265.51,270.55,268.86,623080000
5/7/2017,275.13,261.45,268.77,273.1,790256000
